nombre_central,tipo_tecnologia,potencia_instalada_mw,provincia
RAWSON 3 EOLICO,Eolica,25.05,CHUBUT
SAN PEDRO BSAS,Termica,108,BUENOS AIRES
SAN PEDRO BSAS,Termica,50.46,BUENOS AIRES
C.T BRACHO,Termica,199,TUCUMAN
C.T BRACHO,Termica,274,TUCUMAN
CT MATHEU III,Termica,254,BUENOS AIRES
CT LUJAN BSAS,Termica,127.3,BUENOS AIRES
P.E. CORTI,Eolica,100,BUENOS AIRES
MANANTIALES BEHR (YPF),Eolica,99,CHUBUT
P.S. Caldenes O,Fotovoltaica,24.75,SAN LUIS
P.S. La Cumbre,Fotovoltaica,22,SAN LUIS
C.T ZARATE,Termica,212.2,BUENOS AIRES
PE La Castellana,Eolica,100.8,BUENOS AIRES
P.S. Nonogasta,Fotovoltaica,35,LA RIOJA
P.E. Achiras,Eolica,48,CORDOBA
V.MARIA UENSA,Termica,150.12,CORDOBA
V.MARIA UENSA,Termica,49.5,CORDOBA
V.MARIA UENSA,Termica,55.6,CORDOBA
BIO R.Cuarto 1,Biogas,1.56,CORDOBA
BIO R.Cuarto 1,Biogas,2,CORDOBA
BIO R.Cuarto 2,Biogas,1.2,CORDOBA
PS Las Lomitas,Fotovoltaica,1.7,SAN JUAN
PMADRYN I ENARS,Eolica,71.1,CHUBUT
PMADRYNII ENARS,Eolica,151.2,CHUBUT
PE Chubut Norte,Eolica,28.8,CHUBUT
P.E. Garayalde,Eolica,24.15,CHUBUT
Parque Solar Chepes LEDLAR,Fotovoltaica,2,LA RIOJA
C.T. PRODEMAN BIOENERGIA,Biomasa,,CORDOBA
C.T. TICINO BIOMASA S.A.,Biomasa,,CORDOBA
P.S. Tinogasta,Fotovoltaica,15,CATAMARCA
P.S. TINOGASTA II,Fotovoltaica,7,CATAMARCA
P.S. Fiambala,Fotovoltaica,11,CATAMARCA
P.S. Saujil,Fotovoltaica,22.5,CATAMARCA
P.S. Ullum N1,Fotovoltaica,25,SAN JUAN
P.S. Ullum N2,Fotovoltaica,25,SAN JUAN
P.S. Ullum 3,Fotovoltaica,32,SAN JUAN
VILLALONGA EOLI,Eolica,51.75,BUENOS AIRES
